Region, stat_length, stat_line_length, stat_line_avg_phones, stat_word_phones, stat_word_avg_chars, tonality_end_rhyme_mean, tonality_end_rhyme_stdev, tonality_repeat_rhyme_mean, tonality_repeat_rhyme_stdev, tfidf_show, tfidf_yea, tfidf_money, tfidf_move, tfidf_go, tfidf_still, tfidf_aint, tfidf_death, tfidf_young, tfidf_littl, tfidf_better, tfidf_black, tfidf_whole, tfidf_rich, tfidf_bout, tfidf_ta, tfidf_real, tfidf_good, tfidf_hit, tfidf_around, tfidf_yo, tfidf_get, tfidf_ya, tfidf_big, tfidf_rock, tfidf_watch, tfidf_game, tfidf_know, tfidf_new, tfidf_world, tfidf_day, tfidf_name, tfidf_tri, tfidf_like, tfidf_die, tfidf_gettin, tfidf_gun, tfidf_wit, tfidf_night, tfidf_yall, tfidf_mean, tfidf_em, tfidf_nigga, tfidf_hard, tfidf_back, tfidf_realli, tfidf_see, tfidf_street, tfidf_homi, tfidf_girl, tfidf_even, tfidf_gon, tfidf_god, tfidf_leav, tfidf_got, tfidf_ever, tfidf_told, tfidf_ass, tfidf_run, tfidf_never, tfidf_let, tfidf_put, tfidf_hand, tfidf_come, tfidf_boy, tfidf_snoop, tfidf_g, tfidf_oh, tfidf_could, tfidf_keep, tfidf_thing, tfidf_smoke, tfidf_head, tfidf_think, tfidf_fuckin, tfidf_pleas, tfidf_love, tfidf_dont, tfidf_feel, tfidf_one, tfidf_ask, tfidf_right, tfidf_done, tfidf_bitch, tfidf_pussi, tfidf_boat, tfidf_wan, tfidf_eye, tfidf_would, tfidf_dogg, tfidf_two, tfidf_start, tfidf_live, tfidf_call, tfidf_way, tfidf_mama, tfidf_damn, tfidf_tell, tfidf_tryna, tfidf_life, tfidf_diamond, tfidf_motherfuck, tfidf_babi, tfidf_peopl, tfidf_yeah, tfidf_beat, tfidf_hold, tfidf_gangsta, tfidf_made, tfidf_look, tfidf_niggaz, tfidf_ride, tfidf_say, tfidf_us, tfidf_uh, tfidf_ill, tfidf_rap, tfidf_give, tfidf_mind, tfidf_fuck, tfidf_high, tfidf_thug, tfidf_cant, tfidf_im, tfidf_want, tfidf_need, tfidf_everi, tfidf_shit, tfidf_hoe, tfidf_turn, tfidf_lil, tfidf_na, tfidf_make, tfidf_song, tfidf_alway, tfidf_take, tfidf_play, tfidf_hey, tfidf_stop, tfidf_stay, tfidf_said, tfidf_man, tfidf_light, tfidf_well, tfidf_drip, tfidf_face, tfidf_caus, tfidf_time, tfidf_everyth, tfidf_dream, tfidf_talk
NE, 83, 9.84337349398, 3.13150442537, 3.10585585586, 3.82986536108, 0.348222687027, 0.375583978884, 0.110627490783, 0.0785127634297, 0, 0, 0, 1, 0, 0, 4, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 3, 2, 4, 14, 0, 1, 1, 0, 2, 7, 1, 0, 0, 0, 1, 1, 1, 0, 10, 1, 0, 0, 2, 2, 0, 6, 1, 0, 0, 4, 1, 1, 0, 3, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 0, 8, 3, 4, 0, 0, 1, 0, 8, 5, 0, 0, 1, 1, 0, 0, 1, 0, 1, 5, 2, 0, 1, 0, 0, 0, 0, 8, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0, 3, 1, 0, 0, 0, 5, 1, 0, 1, 15, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 6, 3, 1, 2, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0
NE, 57, 8.52631578947, 3.00264365264, 2.98541666667, 3.55967078189, 0.359618789548, 0.383172818803, 0.101596226215, 0.0719404859733, 0, 2, 3, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 0, 2, 0, 1, 0, 0, 1, 4, 3, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 1, 0, 0, 12, 1, 6, 1, 3, 0, 0, 0, 0, 1, 1, 0, 4, 1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 7, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 4, 0, 3, 1, 0, 0, 1, 1, 0, 0, 1, 0, 2, 12, 3, 0, 0, 5, 1, 2, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NE, 73, 7.80821917808, 2.9563656853, 3.00983899821, 3.73157894737, 0.58800391883, 0.397210896321, 0.158603542946, 0.0635885447175, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 6, 0, 0, 1, 0, 0, 0, 1, 4, 3, 1, 14, 3, 0, 0, 6, 0, 5, 5, 0, 0, 0, 1, 8, 0, 2, 1, 6, 1, 0, 0, 4, 8, 0, 0, 0, 0, 4, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 6, 2, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 6
NE, 98, 7.9693877551, 3.18613089008, 3.13020833333, 3.76312419974, 0.42847429886, 0.39301929416, 0.127751872331, 0.0836250144385, 0, 3, 1, 3, 0, 2, 6, 0, 0, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 6, 10, 0, 0, 1, 2, 3, 2, 0, 0, 2, 1, 5, 1, 0, 3, 4, 1, 3, 1, 1, 20, 0, 1, 0, 4, 1, 1, 0, 2, 0, 1, 0, 8, 2, 0, 2, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 1, 3, 0, 0, 1, 0, 2, 0, 2, 4, 0, 1, 0, 1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1, 2, 0, 1, 2, 2, 0, 3, 0, 1, 0, 3, 0, 0, 1, 11, 0, 1, 6, 2, 1, 0, 0, 3, 4, 0, 1, 2, 1, 0, 1, 0, 0, 5, 0, 1, 0, 0, 4, 6, 0, 1, 0
NE, 73, 9.43835616438, 3.04171947408, 2.98653940284, 3.57184325109, 0.672764779679, 0.407114628574, 0.136235873211, 0.0658082862712, 0, 0, 0, 0, 1, 2, 13, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 7, 2, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 25, 1, 0, 2, 0, 1, 0, 0, 0, 8, 0, 1, 0, 6, 1, 0, 0, 0, 1, 2, 0, 13, 0, 0, 1, 3, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 7, 1, 2, 1, 0, 2, 1, 0, 0, 5, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 1, 0, 2, 1, 1, 0, 5, 0, 1, 1, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 3, 0, 1, 0, 1
NE, 71, 8.80281690141, 3.06313754712, 3.03215434084, 3.6448, 0.662442108835, 0.388488973433, 0.109780454679, 0.0678680156937, 0, 0, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 7, 1, 0, 0, 2, 2, 1, 0, 0, 0, 1, 1, 11, 0, 0, 0, 10, 2, 7, 0, 4, 13, 1, 0, 2, 5, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 13, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 1, 1, 1, 1, 4, 0, 3, 0, 6, 3, 0, 0, 6, 0, 0, 0, 1, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3
NE, 49, 9.4693877551, 3.01672986877, 3.02028985507, 3.65732758621, 0.485449270266, 0.429529272299, 0.138319008363, 0.0576971776585, 0, 0, 0, 0, 3, 1, 5, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 0, 2, 1, 6, 0, 0, 0, 0, 0, 1, 0, 0, 10, 0, 1, 0, 5, 0, 0, 0, 0, 2, 0, 0, 3, 0, 1, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
NE, 69, 8.91304347826, 3.04757006279, 3.03047775947, 3.70569105691, 0.417734969779, 0.395867427428, 0.124377650149, 0.067644504879, 0, 0, 1, 0, 1, 1, 8, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 3, 0, 1, 8, 1, 2, 2, 1, 0, 2, 1, 1, 2, 1, 0, 6, 0, 0, 1, 1, 0, 1, 0, 1, 4, 0, 2, 0, 1, 6, 2, 0, 4, 0, 0, 0, 2, 0, 1, 4, 1, 1, 1, 0, 0, 4, 0, 0, 0, 0, 1, 3, 0, 0, 0, 2, 0, 0, 0, 5, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 13, 0, 1, 0, 0, 0, 0, 5, 1, 14, 0, 0, 1, 13, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 4, 1, 0, 0, 3
NE, 82, 8.68292682927, 3.26917612367, 3.21816479401, 3.8202247191, 0.456883453857, 0.409500212931, 0.135168162559, 0.0807981663421, 0, 0, 0, 0, 1, 0, 2, 2, 1, 0, 1, 0, 0, 1, 3, 0, 1, 0, 3, 2, 3, 6, 7, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 3, 0, 0, 4, 8, 1, 8, 0, 2, 17, 0, 6, 0, 2, 0, 0, 0, 1, 1, 0, 0, 7, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 0, 3, 1, 0, 4, 1, 3, 2, 2, 5, 1, 0, 1, 0, 0, 0, 2, 4, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 1
NE, 31, 9.64516129032, 2.94344302651, 2.92199775533, 3.48494983278, 0.612070944555, 0.37613293191, 0.124720115671, 0.0594742409567, 1, 0, 6, 1, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 6, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0
